ENSEMBL;GENENAME;Ints-4;Ints-5;Ints-9;Ints-11
WBGene00235352;ZK250.13;1;0;0;0
WBGene00219838;C28H8.14;1;0;0;0
WBGene00219316;F21A3.11;1;0;1;1
WBGene00219313;C17E4.20;1;1;1;1
WBGene00219271;F36H5.14;1;0;0;0
WBGene00194908;F22F7.8;1;0;1;1
WBGene00077770;M04D5.3;1;0;0;0
WBGene00077732;szy-4;1;1;0;0
WBGene00045268;ttr-42;1;0;1;1
WBGene00045113;Y43F4B.12;1;1;1;0
WBGene00044949;Y49A10A.2;1;0;0;1
WBGene00044696;F52E1.14;1;1;1;1
WBGene00044620;bus-4;1;1;0;1
WBGene00044508;nsy-7;1;1;1;1
WBGene00044488;Y54G2A.45;1;1;1;1
WBGene00044468;Y69A2AL.2;1;0;0;0
WBGene00044260;Y87G2A.19;1;1;1;1
WBGene00044024;C35A5.11;1;0;0;0
WBGene00023489;F42A10.9;1;1;1;1
WBGene00023485;ttr-49;1;1;1;0
WBGene00022893;ZK1290.13;1;0;0;0
WBGene00022822;ZK813.3;1;0;1;1
WBGene00022727;prkl-1;1;0;1;1
WBGene00022669;ZK177.1;1;1;0;0
WBGene00022642;lipl-5;1;1;1;1
WBGene00022610;ZC416.6;1;1;1;0
WBGene00022586;ZC308.4;1;1;1;1
WBGene00022562;ZC204.12;1;0;0;1
WBGene00022517;ZC123.1;1;1;1;1
WBGene00022490;Y119D3B.13;1;0;1;0
WBGene00022475;Y119C1B.10;1;0;1;1
WBGene00022474;zig-9;1;0;1;0
WBGene00022441;Y110A2AL.4;1;0;1;1
WBGene00022413;Y102A11A.3;1;0;0;0
WBGene00022412;Y102A11A.2;1;0;0;0
WBGene00022396;Y97E10AR.1;1;1;1;1
WBGene00022349;Y82E9BR.17;1;0;1;1
WBGene00022279;sesn-1;1;0;0;0
WBGene00022245;acp-6;1;0;0;0
WBGene00022201;Y71H10B.1;1;0;0;0
WBGene00022200;fard-1;1;1;1;1
WBGene00022024;Y64H9A.2;1;1;1;1
WBGene00021895;clec-84;1;0;0;0
WBGene00021879;clec-83;1;1;1;1
WBGene00021872;clec-85;1;0;1;1
WBGene00021869;Y54G2A.3;1;1;1;0
WBGene00021852;Y54F10AM.8;1;1;1;1
WBGene00021814;Y53G8AR.7;1;0;1;0
WBGene00021796;Y52E8A.3;1;1;1;1
WBGene00021768;Y51F10.7;1;1;1;1
WBGene00021763;Y51F10.2;1;1;0;0
WBGene00021635;Y47G6A.5;1;1;1;1
WBGene00021531;Y42G9A.1;1;0;0;0
WBGene00021503;ctsa-2;1;1;1;1
WBGene00021468;epg-2;1;1;1;1
WBGene00021415;nsy-4;1;1;1;1
WBGene00021336;Y34F4.1;1;0;0;0
WBGene00021335;spp-23;1;0;0;0
WBGene00021325;Y34B4A.9;1;1;1;1
WBGene00021322;Y34B4A.6;1;0;1;0
WBGene00021321;Y34B4A.5;1;0;1;0
WBGene00021279;Y23H5B.8;1;1;1;0
WBGene00021263;Y22D7AR.10;1;0;0;0
WBGene00021253;Y22D7AL.15;1;0;0;0
WBGene00021236;pud-1.2;1;1;0;1
WBGene00021160;gba-4;1;1;1;1
WBGene00021153;Y4C6A.3;1;1;1;1
WBGene00021060;dct-11;1;0;1;0
WBGene00021048;W05H9.1;1;0;1;0
WBGene00020981;W03D2.6;1;0;0;0
WBGene00020976;oac-51;1;1;1;1
WBGene00020954;W02G9.4;1;1;1;1
WBGene00020938;clec-218;1;1;0;1
WBGene00020932;dhod-1;1;0;0;0
WBGene00020920;set-20;1;0;1;1
WBGene00020847;cgr-1;1;1;1;1
WBGene00020837;slc-36.2;1;1;1;1
WBGene00020836;lgc-34;1;1;1;1
WBGene00020799;T25D10.1;1;0;1;0
WBGene00020788;nep-22;1;1;1;1
WBGene00020662;T21H3.1;1;1;1;1
WBGene00020626;T20F5.4;1;1;1;1
WBGene00020517;hpo-8;1;1;1;0
WBGene00020516;T15B7.1;1;1;1;1
WBGene00020502;T14B4.8;1;0;1;1
WBGene00020433;T11F8.1;1;1;1;0
WBGene00020393;T10B5.7;1;1;1;1
WBGene00020382;T09B4.8;1;1;1;1
WBGene00020369;T08H10.1;1;0;1;1
WBGene00020340;T08B1.1;1;1;1;1
WBGene00020329;bath-26;1;0;0;0
WBGene00020307;T07D3.4;1;0;0;0
WBGene00020290;T06D4.1;1;1;1;0
WBGene00020280;T06A1.5;1;1;1;1
WBGene00020256;T05C3.6;1;1;1;1
WBGene00020242;phat-5;1;1;1;1
WBGene00020235;T05A12.4;1;0;0;0
WBGene00020218;T04G9.7;1;0;1;1
WBGene00020205;arrd-1;1;0;1;1
WBGene00020199;T03G11.6;1;1;1;0
WBGene00020194;T03G6.1;1;1;1;1
WBGene00020182;ugt-53;1;1;1;1
WBGene00020170;T02G5.14;1;0;0;0
WBGene00020166;T02G5.7;1;1;1;1
WBGene00020158;T02C5.1;1;0;1;0
WBGene00020149;T01D1.4;1;0;1;1
WBGene00020128;R193.2;1;1;1;1
WBGene00020125;R173.3;1;1;1;1
WBGene00020082;gcp-2.1;1;0;0;0
WBGene00020075;math-35;1;0;1;1
WBGene00020029;R12C12.9;1;0;1;1
WBGene00020022;R12C12.1;1;0;1;1
WBGene00019989;R09F10.8;1;1;1;0
WBGene00019986;R09F10.1;1;1;1;1
WBGene00019958;R08E3.2;1;0;1;0
WBGene00019957;R08E3.1;1;0;1;0
WBGene00019914;clec-150;1;0;0;0
WBGene00019905;R05G9.3;1;1;1;0
WBGene00019895;aagr-2;1;0;0;0
WBGene00019869;R04E5.2;1;0;0;0
WBGene00019862;nrde-3;1;1;1;1
WBGene00019830;hrg-1;1;1;1;0
WBGene00019805;R01B10.3;1;1;1;1
WBGene00019779;M60.2;1;1;1;1
WBGene00019744;M02H5.8;1;0;0;0
WBGene00019682;K12H4.7;1;1;1;1
WBGene00019619;asp-14;1;1;1;1
WBGene00019617;K10C2.1;1;1;1;1
WBGene00019606;clec-88;1;1;0;0
WBGene00019605;ctsa-1;1;1;1;1
WBGene00019599;K09H11.1;1;0;1;1
WBGene00019547;K09C4.1;1;1;1;1
WBGene00019520;K08B12.1;1;1;1;1
WBGene00019495;sdz-24;1;1;1;1
WBGene00019373;K04A8.1;1;1;1;1
WBGene00019351;lron-7;1;0;1;0
WBGene00019225;bgal-2;1;1;1;1
WBGene00019213;H20E11.1;1;0;1;1
WBGene00019207;fgt-1;1;0;1;1
WBGene00019164;H06H21.8;1;0;1;1
WBGene00019154;glf-1;1;1;1;1
WBGene00019105;asp-8;1;1;1;1
WBGene00019097;F59B1.2;1;1;1;1
WBGene00019082;pup-3;1;0;0;0
WBGene00019017;F57F4.4;1;1;1;1
WBGene00019007;F57B10.14;1;1;1;0
WBGene00018984;F56F10.1;1;0;1;0
WBGene00018951;F56C9.7;1;1;1;1
WBGene00018885;drd-5;1;1;1;1
WBGene00018823;F54E2.1;1;0;0;0
WBGene00018779;F53H8.3;1;1;1;1
WBGene00018743;F53B3.5;1;1;1;1
WBGene00018735;F53B1.2;1;1;1;1
WBGene00018718;F52H2.6;1;1;1;1
WBGene00018708;oac-32;1;0;1;0
WBGene00018605;F48E3.4;1;0;1;1
WBGene00018602;F48D6.4;1;0;0;0
WBGene00018547;clec-78;1;1;1;1
WBGene00018489;F46E10.2;1;1;1;1
WBGene00018438;btb-6;1;1;1;1
WBGene00018384;F43C11.7;1;0;0;0
WBGene00018351;F42G2.2;1;0;0;0
WBGene00018342;F42A10.6;1;1;1;1
WBGene00018335;F42A9.6;1;1;1;0
WBGene00018304;agr-1;1;1;1;1
WBGene00018241;F40G9.5;1;0;1;1
WBGene00018215;igcm-1;1;1;1;1
WBGene00018159;F37F2.2;1;0;0;0
WBGene00018140;F37B4.10;1;0;0;0
WBGene00018133;F37A4.3;1;0;1;1
WBGene00018100;math-26;1;0;1;0
WBGene00018041;F35D2.3;1;1;1;1
WBGene00018037;chtl-1;1;1;1;1
WBGene00018036;F35C8.5;1;1;1;1
WBGene00018035;sek-4;1;0;1;0
WBGene00017905;F28F5.6;1;0;0;0
WBGene00017881;asp-13;1;1;1;1
WBGene00017843;F26G5.1;1;1;1;0
WBGene00017782;F25E5.1;1;0;0;0
WBGene00017716;F22F4.1;1;1;1;1
WBGene00017703;F22E5.1;1;0;0;0
WBGene00017691;ilys-5;1;1;1;1
WBGene00017658;F21C10.9;1;1;0;1
WBGene00017648;ddo-3;1;1;1;1
WBGene00017640;F20D6.11;1;0;0;0
WBGene00017591;F19C7.1;1;0;0;0
WBGene00017548;F18A1.7;1;1;1;0
WBGene00017538;ceh-49;1;1;1;1
WBGene00017515;F16F9.4;1;1;1;1
WBGene00017498;pud-4;1;1;0;1
WBGene00017487;F15E6.6;1;0;1;0
WBGene00017436;F13H8.3;1;0;0;0
