ENSEMBL;GENENAME;Ints-1;Ints-2;Ints-6;Ints-7;Ints-8
WBGene00235268;Y54G2A.76;1;1;1;0;0
WBGene00220094;T25C12.12;1;0;1;0;0
WBGene00220087;T23D8.13;1;0;0;0;0
WBGene00220008;K07C5.18;1;0;0;0;1
WBGene00219917;F26D10.24;1;0;0;0;1
WBGene00219313;C17E4.20;1;0;0;0;0
WBGene00219208;B0365.9;1;0;1;0;0
WBGene00206522;F14D2.19;1;0;1;0;0
WBGene00185014;F17C8.9;1;0;0;0;0
WBGene00175027;W02F12.8;1;0;0;0;0
WBGene00077697;F58E6.13;1;0;0;0;0
WBGene00077691;T06E4.14;1;0;1;0;0
WBGene00050939;C05G5.7;1;0;1;0;0
WBGene00045391;F52D4.1;1;0;0;0;0
WBGene00045387;K09H9.8;1;0;1;0;0
WBGene00045138;F25H2.14;1;0;0;0;0
WBGene00045113;Y43F4B.12;1;0;1;0;0
WBGene00045094;D1007.20;1;0;0;0;1
WBGene00044962;F28D1.13;1;0;0;0;0
WBGene00044956;K07C11.12;1;0;1;0;0
WBGene00044955;K07C11.11;1;0;1;0;1
WBGene00044948;K11H12.12;1;0;0;0;1
WBGene00044939;B0412.7;1;0;0;0;1
WBGene00044901;Y41G9A.10;1;0;0;0;0
WBGene00044728;Y53F4B.45;1;0;0;0;0
WBGene00044724;R02E4.3;1;0;0;0;0
WBGene00044698;K09F5.6;1;0;0;0;0
WBGene00044623;bus-8;1;0;1;0;0
WBGene00044620;bus-4;1;0;1;0;0
WBGene00044533;F41F3.8;1;0;1;0;0
WBGene00044383;T05A7.11;1;0;0;0;1
WBGene00044303;hst-3.2;1;0;0;0;0
WBGene00044291;C25F9.10;1;0;0;0;0
WBGene00044260;Y87G2A.19;1;0;1;0;0
WBGene00044107;F58G6.9;1;1;1;0;0
WBGene00044079;tag-241;1;0;0;0;0
WBGene00044068;syd-9;1;0;0;0;0
WBGene00044016;C35A5.10;1;0;1;0;0
WBGene00044011;T06E4.12;1;0;1;0;0
WBGene00043060;R144.12;1;0;0;0;0
WBGene00023428;K07C5.10;1;0;0;0;1
WBGene00023422;mrpl-21;1;0;0;0;0
WBGene00023069;rncs-1;1;0;0;0;0
WBGene00022816;fbn-1;1;0;1;0;0
WBGene00022789;lron-2;1;0;1;0;0
WBGene00022788;slc-17.7;1;0;0;0;0
WBGene00022782;ZK622.4;1;0;0;0;0
WBGene00022743;mlt-7;1;0;0;0;0
WBGene00022727;prkl-1;1;0;0;0;0
WBGene00022680;ZK180.6;1;0;1;0;0
WBGene00022679;ZK180.5;1;0;1;0;0
WBGene00022675;gbb-2;1;0;0;0;0
WBGene00022665;ZK154.1;1;1;1;0;0
WBGene00022649;ZK84.1;1;0;0;0;0
WBGene00022615;ZC449.5;1;0;0;0;0
WBGene00022612;ZC449.2;1;0;1;0;0
WBGene00022611;ZC449.1;1;1;1;0;0
WBGene00022591;cuti-1;1;0;1;0;0
WBGene00022577;nstp-3;1;1;1;0;0
WBGene00022538;ZC190.4;1;0;1;0;0
WBGene00022517;ZC123.1;1;1;1;0;0
WBGene00022505;ZC21.3;1;0;1;0;0
WBGene00022504;mam-1;1;0;0;0;0
WBGene00022441;Y110A2AL.4;1;0;0;0;1
WBGene00022417;Y102A11A.7;1;0;1;0;0
WBGene00022415;Y102A11A.5;1;0;1;0;0
WBGene00022410;Y97E10C.1;1;0;1;0;0
WBGene00022398;Y97E10AR.3;1;0;0;0;0
WBGene00022396;Y97E10AR.1;1;0;0;0;1
WBGene00022383;Y95B8A.2;1;0;1;0;0
WBGene00022287;Y75B7AR.1;1;0;1;0;0
WBGene00022283;lgc-27;1;1;1;0;0
WBGene00022274;Y73E7A.8;1;0;1;0;0
WBGene00022271;cpx-1;1;0;0;0;0
WBGene00022242;sfrp-1;1;0;0;0;0
WBGene00022180;Y71H2AM.15;1;0;1;0;0
WBGene00022173;set-27;1;0;0;0;0
WBGene00022170;Y71H2AM.5;1;0;0;0;0
WBGene00022160;Y71G12B.25;1;0;1;0;0
WBGene00022103;cdh-12;1;0;1;0;0
WBGene00022045;mrpl-55;1;0;0;0;0
WBGene00022033;Y65B4BL.1;1;0;0;0;0
WBGene00022024;Y64H9A.2;1;1;1;0;0
WBGene00022004;npr-22;1;0;0;0;0
WBGene00021950;cutl-26;1;0;0;0;0
WBGene00021894;Y54G2A.32;1;0;0;0;0
WBGene00021876;Y54G2A.11;1;0;0;0;0
WBGene00021852;Y54F10AM.8;1;1;1;0;0
WBGene00021850;Y54F10AM.6;1;0;1;0;0
WBGene00021796;Y52E8A.3;1;1;1;1;0
WBGene00021690;Y48G8AL.12;1;0;1;0;0
WBGene00021645;Y47G6A.19;1;0;1;0;0
WBGene00021625;Y47D7A.13;1;1;1;0;0
WBGene00021583;clec-72;1;1;1;0;0
WBGene00021529;Y41G9A.5;1;0;0;0;0
WBGene00021528;gbb-1;1;0;0;0;0
WBGene00021415;nsy-4;1;0;0;0;0
WBGene00021389;Y38A10A.2;1;0;1;0;0
WBGene00021388;Y37F4.7;1;0;0;0;0
WBGene00021326;Y34B4A.10;1;0;1;0;0
WBGene00021309;Y32G9B.1;1;0;0;0;0
WBGene00021279;Y23H5B.8;1;0;0;0;1
WBGene00021248;Y22D7AL.10;1;0;1;0;0
WBGene00021213;Y18H1A.9;1;1;1;0;0
WBGene00021133;tomm-22;1;0;1;0;0
WBGene00021127;W10C8.4;1;0;1;0;0
WBGene00021095;mlt-8;1;1;1;0;0
WBGene00021085;W08E12.4;1;1;0;0;0
WBGene00021084;W08E12.3;1;1;0;0;0
WBGene00020976;oac-51;1;1;1;1;1
WBGene00020947;W02F12.2;1;0;0;0;0
WBGene00020937;W02D3.12;1;0;0;0;0
WBGene00020902;jmjc-1;1;0;1;0;0
WBGene00020837;slc-36.2;1;1;1;0;0
WBGene00020836;lgc-34;1;1;0;0;0
WBGene00020803;T25E4.1;1;1;1;0;0
WBGene00020788;nep-22;1;1;1;1;0
WBGene00020766;T24C12.4;1;0;0;0;0
WBGene00020702;T22F7.3;1;0;0;0;0
WBGene00020626;T20F5.4;1;1;1;1;1
WBGene00020595;T20B5.2;1;0;0;0;0
WBGene00020592;ugt-12;1;0;0;0;0
WBGene00020590;T19H12.6;1;0;0;0;0
WBGene00020576;T19D12.1;1;1;1;0;0
WBGene00020571;lpr-7;1;0;0;0;0
WBGene00020567;T19D2.1;1;0;1;0;0
WBGene00020560;T19C3.2;1;1;1;0;0
WBGene00020554;T19A5.3;1;1;1;0;0
WBGene00020507;vha-15;1;0;1;0;0
WBGene00020502;T14B4.8;1;0;1;0;0
WBGene00020501;T14B4.5;1;0;0;0;0
WBGene00020497;T14A8.2;1;0;1;0;0
WBGene00020479;T13C2.3;1;0;1;0;0
WBGene00020478;T13C2.2;1;1;1;0;0
WBGene00020421;T10E10.4;1;0;0;0;0
WBGene00020382;T09B4.8;1;1;1;0;0
WBGene00020360;math-41;1;0;0;0;0
WBGene00020330;T07H6.1;1;0;0;0;0
