Gene name;Ints-1 average;Ints-2 average;ints-3 average;ints-4 average;ints-5 average;ints-6 average;ints-7 average;ints-8 average;Ints-9 average;Ints-10 average;Ints-11 average;Ints-12 average;Ints-13 average
ints-1;1;1;0;1;1;1;1;1;0;0;1;0;1
ints-2;1;1;0;1;1;1;1;0;0;0;1;0;1
ints-3;1;0;0;0;1;1;1;0;0;0;1;0;0
ints-4;1;1;0;1;1;1;1;0;1;0;1;0;1
ints-5;1;1;0;1;1;0;1;1;0;0;1;0;1
ints-6;1;1;0;1;1;1;1;0;0;0;1;0;1
ints-7;1;1;0;1;1;1;1;0;0;0;1;0;1
ints-8;1;1;0;1;1;1;1;1;0;0;1;0;1
ints-9;1;1;0;1;1;1;1;0;1;0;1;0;1
ints-11;1;1;0;1;1;1;1;0;1;0;1;0;1
ints-12;1;0;0;0;0;1;1;0;0;0;1;0;0
ints-13;1;1;0;1;0;1;1;0;1;0;1;0;1
