Gene name;Ints-1 average;Ints-2 average;ints-3 average;ints-4 average;ints-5 average;ints-6 average;ints-7 average;ints-8 average;Ints-9 average;Ints-10 average;Ints-11 average;Ints-12 average;Ints-13 average
ints-1;144,0;27,0;;32,0;31,7;42,7;42,7;2,0;;;15,3;;17,3
ints-2;18,7;50,3;;11,7;13,7;21,3;47,3;;;;8,0;;10,0
ints-3;12,3;;;;3,3;194,7;3,7;;;;3,0;;
ints-4;4,3;12,3;;120,3;11,3;11,0;15,7;;52,0;;11,7;;36,3
ints-5;17,0;24,7;;16,0;72,7;;26,0;12,7;;;11,7;;15,0
ints-6;8,3;7,0;;14,7;4,3;115,3;16,3;;;;4,0;;5,3
ints-7;10,7;20,0;;11,7;16,3;17,0;93,3;;;;5,0;;7,7
ints-8;24,7;33,3;;39,3;60,7;52,3;51,0;25,3;;;6,7;;25,3
ints-9;2,0;12,7;;66,3;10,3;14,7;21,3;;18,0;;7,3;;23,7
ints-11;1,0;14,7;;50,3;7,0;12,3;13,3;;30,0;;35,7;;20,7
ints-12;8,3;;;;;1,0;6,0;;;;0,7;;
ints-13;4,7;6,3;;42,7;;5,7;12,7;;45,3;;14,7;;48,0
