ENSEMBL;GENENAME;Ints-4;Ints-5;Ints-9;Ints-11
WBGene00255598;BE0003N10.6;1;1;1;1
WBGene00255597;Y82E9BR.32;1;0;0;0
WBGene00255596;Y37B11A.8;1;1;1;1
WBGene00255426;C04G2.14;1;1;1;1
WBGene00255375;F08B4.8;1;1;1;1
WBGene00236806;D2024.18;1;1;1;0
WBGene00235383;ZK616.65;1;1;1;1
WBGene00235359;F56D6.22;1;0;1;1
WBGene00235307;B0507.17;1;1;1;0
WBGene00235281;Y4C6A.68;1;0;1;0
WBGene00235271;C49C8.8;1;1;1;0
WBGene00235206;W07G1.24;1;0;0;1
WBGene00235201;T27C5.19;1;1;1;0
WBGene00235164;K09F6.13;1;1;1;1
WBGene00235161;CD4.19;1;1;1;1
WBGene00235106;F08H9.15;1;1;1;1
WBGene00235093;C54F6.18;1;1;0;0
WBGene00220259;ZK418.13;1;1;1;1
WBGene00220239;ZK218.23;1;1;1;0
WBGene00220223;Y105C5A.1284;1;1;1;1
WBGene00220222;Y105C5A.1283;1;1;0;1
WBGene00220172;Y49E10.36;1;0;0;0
WBGene00220117;W03B1.17;1;1;1;1
WBGene00220066;T09B9.10;1;1;1;1
WBGene00220061;T07D4.7;1;1;1;1
WBGene00220002;K02F6.11;1;1;1;1
WBGene00220000;K02F2.11;1;0;0;0
WBGene00219987;F59C6.19;1;1;1;1
WBGene00219969;F54F11.6;1;0;1;1
WBGene00219964;F52G3.6;1;1;1;0
WBGene00219962;F52E10.11;1;1;0;1
WBGene00219960;F52D10.13;1;0;0;1
WBGene00219922;F28C10.5;1;1;1;1
WBGene00219912;F22H10.10;1;1;1;1
WBGene00219899;F17C11.24;1;0;0;0
WBGene00219893;F15A8.19;1;1;1;1
WBGene00219886;F09E10.15;1;1;1;1
WBGene00219876;F01G12.19;1;0;0;1
WBGene00219840;C29F9.15;1;1;1;1
WBGene00219824;C18C4.17;1;1;1;1
WBGene00219816;C14E2.12;1;0;1;0
WBGene00219810;mir-8196.2;1;1;0;0
WBGene00219743;linc-103;1;0;0;0
WBGene00219709;linc-37;1;1;1;1
WBGene00219700;linc-6;1;1;1;1
WBGene00219675;linc-44;1;1;1;1
WBGene00219672;anr-54;1;1;1;0
WBGene00219667;linc-66;1;1;1;1
WBGene00219666;linc-31;1;1;0;0
WBGene00219615;linc-109;1;1;1;1
WBGene00219609;linc-7;1;1;1;1
WBGene00219423;C23H5.15;1;1;1;1
WBGene00219383;Y61B8A.6;1;1;1;1
WBGene00219326;F36D3.16;1;1;1;1
WBGene00219309;F26F2.13;1;1;1;1
WBGene00219275;Y39G10AR.32;1;1;1;1
WBGene00219272;C17C3.24;1;1;1;1
WBGene00206536;C14A6.16;1;1;1;1
WBGene00206494;C15H11.16;1;1;1;1
WBGene00206474;T22A3.12;1;1;1;1
WBGene00206464;F59C6.18;1;1;1;1
WBGene00206459;Y80D4G.1;1;1;1;1
WBGene00206420;T26G10.7;1;1;1;1
WBGene00206393;W04G5.16;1;1;1;0
WBGene00206361;K02G10.15;1;0;1;0
WBGene00206357;C09D4.9;1;1;1;1
WBGene00202504;Y32B12B.8;1;1;0;0
WBGene00202499;B0507.15;1;1;1;1
WBGene00202498;Y60C6A.2;1;1;0;0
WBGene00202041;Y69A2AR.45;1;1;1;0
WBGene00200057;K04G7.13;1;0;0;0
WBGene00199695;F08G2.17;1;0;1;0
WBGene00198596;F42C5.14;1;0;0;0
WBGene00197710;C14F11.14;1;0;0;0
WBGene00197296;C09B7.6;1;1;1;1
WBGene00197217;F59D12.11;1;0;0;0
WBGene00195889;T01B6.5;1;1;0;0
WBGene00195377;F45B8.6;1;1;1;1
WBGene00195209;C07B5.8;1;1;0;0
WBGene00195179;F48C1.11;1;0;0;1
WBGene00195178;ZC581.10;1;1;1;1
WBGene00195177;Y43F8B.25;1;1;1;1
WBGene00195165;F57G4.11;1;1;1;1
WBGene00194985;Y25C1A.14;1;1;0;0
WBGene00194917;Y45F10B.59;1;1;1;1
WBGene00194912;ZK856.18;1;1;1;1
WBGene00194894;T05B4.14;1;1;1;1
WBGene00194816;ZK616.61;1;1;1;1
WBGene00194815;Y43F8B.23;1;1;1;0
WBGene00194803;C25F9.16;1;1;1;1
WBGene00194783;K03B8.14;1;1;1;1
WBGene00194713;F19B10.13;1;1;1;1
WBGene00194708;Y36E3A.2;1;1;1;0
WBGene00194703;F26B1.8;1;1;1;1
WBGene00194700;B0025.5;1;1;1;1
WBGene00194691;ZK1098.12;1;1;1;0
WBGene00194678;R10D12.18;1;0;0;0
WBGene00194661;Y57G11C.1131;1;1;1;1
WBGene00194649;Y57G11C.1130;1;1;1;1
WBGene00194646;Y105C5A.1270;1;1;1;1
WBGene00194645;Y105C5A.1269;1;1;1;1
WBGene00194641;F47G3.4;1;1;1;1
WBGene00189952;K10D2.8;1;1;1;1
WBGene00173270;21ur-7377;1;1;1;0
WBGene00171568;21ur-9650;1;1;1;0
WBGene00170574;21ur-8789;1;0;1;0
WBGene00138721;C54D10.14;1;1;1;1
WBGene00086568;Y2H9A.6;1;1;1;1
WBGene00086560;ZK355.8;1;1;1;1
WBGene00086554;D1081.12;1;1;1;0
WBGene00077786;F53F8.7;1;1;1;1
WBGene00077764;F59C6.16;1;1;1;1
WBGene00077692;C08E8.10;1;1;1;1
WBGene00077685;C04F12.12;1;1;1;1
WBGene00077652;ZK228.12;1;1;1;1
WBGene00077636;Y46G5A.43;1;1;0;0
WBGene00077629;K10G4.13;1;1;1;1
WBGene00077593;C49G7.12;1;1;1;1
WBGene00077563;peel-1;1;0;1;1
WBGene00077548;F21C3.7;1;0;0;0
WBGene00077546;C01A2.9;1;1;1;1
WBGene00077522;T10D4.15;1;1;1;0
WBGene00077519;T27C10.8;1;1;1;1
WBGene00077490;M03A1.8;1;1;0;1
WBGene00077457;Y39B6A.49;1;1;1;1
WBGene00050971;F11D11.15;1;1;1;1
WBGene00050956;C14A6.13;1;1;1;1
WBGene00050940;C25D7.16;1;1;1;0
WBGene00050919;C45G9.15;1;1;1;1
WBGene00050916;F55F10.3;1;0;1;0
WBGene00050915;Y6E2A.10;1;1;1;1
WBGene00050899;T10C6.15;1;1;1;1
WBGene00045501;Y6G8.8;1;1;0;0
WBGene00045484;F34D10.9;1;1;1;1
WBGene00045475;T07A5.7;1;1;1;1
WBGene00045473;F30A10.14;1;1;1;0
WBGene00045468;F08A8.8;1;1;1;1
WBGene00045457;F33H12.7;1;1;1;1
WBGene00045415;Y43F8B.15;1;1;1;1
WBGene00045411;C25F9.11;1;1;1;1
WBGene00045401;eol-1;1;1;1;1
WBGene00045393;F26D11.13;1;1;1;1
WBGene00045392;F26D11.12;1;1;1;1
WBGene00045388;C38C6.8;1;1;0;1
WBGene00045375;C17D12.8;1;1;1;0
WBGene00045370;ZK265.11;1;1;1;1
WBGene00045355;D1086.17;1;1;1;1
WBGene00045311;Y57G11C.57;1;1;1;1
WBGene00045306;ZC250.5;1;1;1;0
WBGene00045272;F59C12.4;1;1;1;1
WBGene00045265;K10C2.8;1;1;1;0
WBGene00045251;F54F7.9;1;1;1;1
WBGene00045247;F54H12.8;1;1;1;1
WBGene00045245;ttr-34;1;1;1;1
WBGene00045207;F13E9.14;1;0;0;0
WBGene00045194;smy-1;1;1;1;1
WBGene00045188;B0284.5;1;1;1;1
WBGene00045159;smy-3;1;1;1;1
WBGene00045144;Y64G10A.10;1;1;1;1
WBGene00045076;W04G5.13;1;1;1;0
WBGene00045058;gadr-5;1;1;1;1
WBGene00045043;Y116A8C.48;1;1;1;1
WBGene00045037;F38A1.17;1;1;1;0
WBGene00045036;K08E4.7;1;1;1;1
WBGene00044975;F47G4.9;1;1;0;1
WBGene00044967;smy-9;1;1;1;1
WBGene00044965;smy-6;1;0;1;1
WBGene00044957;C08D8.3;1;1;0;1
WBGene00044897;M01D7.9;1;1;1;1
WBGene00044804;ZK938.8;1;1;0;0
WBGene00044787;C54D10.12;1;1;1;1
WBGene00044777;T02B11.9;1;1;1;1
WBGene00044773;C08A9.10;1;1;1;1
WBGene00044763;ZK688.12;1;1;1;1
WBGene00044760;Y71H2AM.25;1;1;1;1
WBGene00044744;F10G7.12;1;1;1;0
WBGene00044737;ttr-45;1;1;1;1
WBGene00044708;C17H1.13;1;1;1;1
WBGene00044686;flp-28;1;1;1;1
WBGene00044684;T08G11.2;1;1;1;1
