ENSEMBL;GENENAME;Ints-1;Ints-2;Ints-6;Ints-7;Ints-8
WBGene00255426;C04G2.14;1;1;1;0;0
WBGene00255375;F08B4.8;1;1;1;0;1
WBGene00236806;D2024.18;1;1;1;0;1
WBGene00235383;ZK616.65;1;0;0;0;0
WBGene00235164;K09F6.13;1;1;1;1;1
WBGene00235133;T26H5.14;1;1;1;0;0
WBGene00235094;K08D9.9;1;0;0;0;0
WBGene00220259;ZK418.13;1;1;1;1;1
WBGene00220239;ZK218.23;1;1;0;1;1
WBGene00220238;ZK185.9;1;0;0;0;0
WBGene00220223;Y105C5A.1284;1;1;1;1;1
WBGene00220203;Y73B6A.14;1;0;1;0;0
WBGene00220117;W03B1.17;1;1;1;1;1
WBGene00220066;T09B9.10;1;0;1;0;0
WBGene00220061;T07D4.7;1;1;1;1;1
WBGene00220002;K02F6.11;1;1;1;1;1
WBGene00219987;F59C6.19;1;1;1;1;1
WBGene00219912;F22H10.10;1;0;1;0;0
WBGene00219893;F15A8.19;1;1;1;0;0
WBGene00219876;F01G12.19;1;0;1;0;0
WBGene00219824;C18C4.17;1;1;1;0;0
WBGene00219822;C17H12.36;1;1;1;1;1
WBGene00219770;linc-40;1;0;0;0;0
WBGene00219700;linc-6;1;1;0;0;0
WBGene00219615;linc-109;1;1;1;1;1
WBGene00219609;linc-7;1;0;0;0;0
WBGene00219581;anr-20;1;0;1;0;0
WBGene00219316;F21A3.11;1;0;0;0;0
WBGene00219289;T05C12.15;1;0;0;0;0
WBGene00219275;Y39G10AR.32;1;1;1;1;1
WBGene00219272;C17C3.24;1;1;1;1;1
WBGene00206494;C15H11.16;1;1;1;1;1
WBGene00206474;T22A3.12;1;1;1;1;1
WBGene00206464;F59C6.18;1;1;1;1;1
WBGene00206459;Y80D4G.1;1;1;0;0;0
WBGene00206420;T26G10.7;1;0;0;0;0
WBGene00206386;K10C2.12;1;0;1;0;0
WBGene00206380;C42D4.18;1;0;1;0;0
WBGene00202504;Y32B12B.8;1;0;1;0;0
WBGene00202041;Y69A2AR.45;1;1;0;0;1
WBGene00198905;T07D4.6;1;0;0;0;1
WBGene00198470;F08G2.15;1;0;0;0;1
WBGene00195377;F45B8.6;1;1;0;1;0
WBGene00194917;Y45F10B.59;1;0;1;1;1
WBGene00194912;ZK856.18;1;1;0;0;0
WBGene00194816;ZK616.61;1;0;0;0;0
WBGene00194783;K03B8.14;1;1;1;1;1
WBGene00194713;F19B10.13;1;1;1;1;1
WBGene00194703;F26B1.8;1;1;1;0;1
WBGene00194700;B0025.5;1;1;1;0;0
WBGene00194695;B0462.5;1;0;1;0;0
WBGene00194691;ZK1098.12;1;0;1;0;0
WBGene00194661;Y57G11C.1131;1;1;1;1;1
WBGene00194649;Y57G11C.1130;1;1;1;1;1
